Faixa Etária detalhada;Masculino;Feminino;Total
0 a 4 anos;39475;37890;77365
5 a 9 anos;42008;40150;82158
10 a 14 anos;44447;43260;87707
15 a 19 anos;38440;38543;76983
20 a 24 anos;35188;35147;70335
25 a 29 anos;33369;34049;67418
30 a 34 anos;29128;29977;59105
35 a 39 anos;23836;23941;47777
40 a 44 anos;19940;19988;39928
45 a 49 anos;15765;15716;31481
50 a 54 anos;12883;13036;25919
55 a 59 anos;10218;10239;20457
60 a 64 anos;7713;7507;15220
65 a 69 anos;5757;5864;11621
70 a 74 anos;4085;4000;8085
75 a 79 anos;2816;2692;5508
80 anos e mais;3256;3236;6492
Total;368324;365235;733559
